Country,Total,"New York-Newark-Jersey City, NY-NJ-PA","Miami-Fort Lauderdale-Pompano Beach, FL","Los Angeles-Long Beach-Anaheim, CA","Washington-Arlington-Alexandria, DC-VA-MD-WV","Houston-The Woodlands-Sugar Land, TX","Chicago-Naperville-Elgin, IL-IN-WI","San Francisco-Oakland-Berkeley, CA","Dallas-Fort Worth-Arlington, TX","Boston-Cambridge-Newton, MA-NH","Atlanta-Sandy Springs-Alpharetta, GA","San Jose-Sunnyvale-Santa Clara, CA","Seattle-Tacoma-Bellevue, WA","San Diego-Chula Vista-Carlsbad, CA","Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","Riverside-San Bernardino-Ontario, CA","Tampa-Saint Petersburg-Clearwater, FL","Minneapolis-Saint Paul-Bloomington, MN-WI","Orlando-Kissimmee-Sanford, FL","Phoenix-Mesa-Chandler, AZ","Detroit-Warren-Dearborn, MI","Sacramento-Roseville-Folsom, CA","Austin-Round Rock-Georgetown, TX","Denver-Aurora-Lakewood, CO","Las Vegas-Henderson-Paradise, NV","Portland-Vancouver-Hillsboro, OR-WA","Baltimore-Columbia-Towson, MD","Columbus, OH","San Antonio-New Braunfels, TX","Charlotte-Concord-Gastonia, NC-SC","Louisville/Jefferson County, KY-IN","Providence-Warwick, RI-MA","Indianapolis-Carmel-Anderson, IN","Nashville-Davidson--Murfreesboro--Franklin, TN","Raleigh-Cary, NC","Kansas City, MO-KS","Bridgeport-Stamford-Norwalk, CT","Jacksonville, FL","El Paso, TX","Urban Honolulu, HI","Cincinnati, OH-KY-IN","Salt Lake City, UT","Fresno, CA","Saint Louis, MO-IL","Hartford-East Hartford-Middletown, CT","Cleveland-Elyria, OH","Cape Coral-Fort Myers, FL","Worcester, MA-CT","Milwaukee-Waukesha, WI","McAllen-Edinburg-Mission, TX","Stockton, CA"
Afghanistan,"12,935",340,9,378,"1,558",499,133,605,589,90,216,131,724,503,67,60,44,63,3,171,64,"2,303",286,211,102,115,49,37,308,44,40,15,9,52,79,29,,90,,,20,103,9,118,30,47,,3,23,,94
Albania,"5,049","1,480",52,27,72,27,239,18,33,460,4,,30,10,358,8,174,7,21,20,583,3,8,11,22,4,16,22,9,3,,5,,11,,,34,162,,,,3,,43,127,93,11,152,56,,
Algeria,"2,123",357,22,46,80,51,140,170,37,90,24,15,18,13,236,3,13,9,4,7,18,16,33,25,,3,10,153,22,5,14,11,44,4,14,107,,,,,11,,,5,10,5,3,3,7,,
Angola,176,13,10,3,4,22,,,5,23,,,5,4,4,,3,3,,,,,,,,,,,,4,3,10,,,,,,,,,,,,,,,,,,,
Anguilla,23,4,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antigua and Barbuda,325,130,20,,6,,,,5,13,19,,,,14,,6,,20,,,,,,,,3,,,,,,,,,,5,8,,,,,,,,,,,,,
Argentina,"3,080",406,736,192,139,118,80,64,59,36,53,58,40,22,30,40,48,22,51,20,14,10,13,26,35,17,8,13,8,24,,4,10,12,9,8,36,23,3,,,32,,16,6,9,21,8,7,6,
Armenia,"3,217",151,15,"2,349",28,13,17,33,,79,5,17,25,7,26,5,5,,3,3,6,102,,10,48,7,3,5,,,,8,3,4,,,3,,,,11,9,48,6,,12,,16,,,
Aruba,45,5,7,,,,,,,,,,,,4,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,"2,693",411,25,311,80,67,72,152,43,60,39,74,137,74,41,24,14,26,29,22,59,13,21,44,20,34,18,7,8,20,5,10,6,27,14,9,11,13,,21,7,14,3,7,4,9,,,8,,3
